inner,mid,zoom,rx,ry,rz,level,faces,pents,chi,coords,mantissa_ones,density,powers_of_two,short_tail,worst,ink,l_entropy,distinct,net_digest,image,netfile
0.95,0.50,420,0.9,1.2,0.3,3,10292,12,2,185220,4714326,0.489473,2168,0,38,0.342229,2.724989,1094,6660d0f7d2bc17e7,img_i0.95_m0.50_v2.png,net_i0.95_m0.50_lv3.gosnet
0.95,0.50,760,0.35,2.4,0,3,10292,12,2,185220,4714326,0.489473,2168,0,38,0.227112,1.519886,404,6660d0f7d2bc17e7,img_i0.95_m0.50_v3.png,net_i0.95_m0.50_lv3.gosnet
0.95,0.73,180,0,0,0,3,10292,12,2,185220,4688150,0.486755,2168,0,39,0.204744,1.689303,586,40ebb890d987e12f,img_i0.95_m0.73_v0.png,net_i0.95_m0.73_lv3.gosnet
0.95,0.73,260,0.35,0.6,0,3,10292,12,2,185220,4688150,0.486755,2168,0,39,0.399275,3.631365,2222,40ebb890d987e12f,img_i0.95_m0.73_v1.png,net_i0.95_m0.73_lv3.gosnet
0.95,0.73,420,0.9,1.2,0.3,3,10292,12,2,185220,4688150,0.486755,2168,0,39,0.255779,2.221118,1078,40ebb890d987e12f,img_i0.95_m0.73_v2.png,net_i0.95_m0.73_lv3.gosnet
0.95,0.73,760,0.35,2.4,0,3,10292,12,2,185220,4688150,0.486755,2168,0,39,0.166377,1.231369,384,40ebb890d987e12f,img_i0.95_m0.73_v3.png,net_i0.95_m0.73_lv3.gosnet
0.95,0.95,180,0,0,0,3,10292,12,2,185220,4692654,0.487222,2168,0,38,0.127400,1.091106,451,68d858199ab5d611,img_i0.95_m0.95_v0.png,net_i0.95_m0.95_lv3.gosnet
0.95,0.95,260,0.35,0.6,0,3,10292,12,2,185220,4692654,0.487222,2168,0,38,0.242471,2.380987,1725,68d858199ab5d611,img_i0.95_m0.95_v1.png,net_i0.95_m0.95_lv3.gosnet
0.95,0.95,420,0.9,1.2,0.3,3,10292,12,2,185220,4692654,0.487222,2168,0,38,0.124429,1.308932,955,68d858199ab5d611,img_i0.95_m0.95_v2.png,net_i0.95_m0.95_lv3.gosnet
0.95,0.95,760,0.35,2.4,0,3,10292,12,2,185220,4692654,0.487222,2168,0,38,0.067737,0.703842,391,68d858199ab5d611,img_i0.95_m0.95_v3.png,net_i0.95_m0.95_lv3.gosnet
